,Ticker,Co Web Address
218,BKI US Equity,www.blackknightinc.com
219,BLK US Equity,www.blackrock.com
220,BX US Equity,www.blackstone.com
221,BLDR US Equity,www.bldr.com
222,OWL US Equity,www.blueowl.com
223,BMY US Equity,www.bms.com
224,BMWYY US Equity,www.bmw.com
225,BNPQY US Equity,www.bnpparibas.nl
226,BACHY US Equity,www.boc.cn
227,BHKLY US Equity,www.bochkholdings.com
228,BA US Equity,www.boeing.com
229,BKNG US Equity,www.bookingholdings.com
230,BAH US Equity,www.boozallen.com
231,BWA US Equity,www.borgwarner.com
232,BXP US Equity,www.bostonproperties.com
233,BSX US Equity,www.bostonscientific.com
234,BOUYY US Equity,www.bouygues.com
235,BP US Equity,www.bp.com
236,BXBLY US Equity,www.brambles.com
237,BNTGY US Equity,www.brenntag.com
238,BKRKY US Equity,www.bri.co.id
239,BRDCY US Equity,www.bridgestone.com
240,AVGO US Equity,www.broadcom.com
241,BR US Equity,www.broadridge.com
242,BF/B US Equity,www.brown-forman.com
243,BF/A US Equity,www.brown-forman.com
244,BRKR US Equity,www.bruker.com
245,BDWBY US Equity,www.budweiserapac.com
246,BG US Equity,www.bunge.com
247,BZLFY US Equity,www.bunzl.com
248,BURBY US Equity,www.burberryplc.com
249,BVVBY US Equity,www.bureauveritas.com
250,BURL US Equity,www.burlingtoninvestors.com
251,BYDIY US Equity,www.byd-electronic.com
252,BYDDY US Equity,www.byd.com
253,CABO US Equity,www.cableone.net
254,CDNS US Equity,www.cadence.com
255,CZR US Equity,www.caesars.com
256,CAIXY US Equity,www.caixabank.com
257,CPT US Equity,www.camdenliving.com
258,DVCMY US Equity,www.camparigroup.com
259,CPB US Equity,www.campbellsoups.com
260,CGEMY US Equity,www.capgemini.com
261,CLLDY US Equity,www.capitaland.com
262,COF US Equity,www.capitalone.com
263,CKHGY US Equity,www.capitecbank.co.za
264,CAH US Equity,www.cardinalhealth.com
265,CSL US Equity,www.carlisle.com
266,CABGY US Equity,www.carlsberggroup.com
267,CG US Equity,www.carlyle.com
268,KMX US Equity,www.carmax.com
269,CUK US Equity,www.carnival.com
270,CCL US Equity,www.carnivalcorp.com
271,CRRFY US Equity,www.carrefour.com
272,CARR US Equity,www.carrier.com
273,CVNA US Equity,www.carvana.com
274,CTLT US Equity,www.catalent.com
275,CAT US Equity,www.caterpillar.com
276,STZ/B US Equity,www.cbrands.com
277,STZ US Equity,www.cbrands.com
278,CBRE US Equity,www.cbre.us
279,CDW US Equity,www.cdw.com
280,CEA US Equity,www.ceair.com
281,CE US Equity,www.celanese.com
282,CLLNY US Equity,www.cellnextelecom.com
283,CX US Equity,www.cemex.com
284,CNC US Equity,www.centene.com
285,CNP US Equity,www.centerpointenergy.com
286,CDAY US Equity,www.ceridian.com
287,CERN US Equity,www.cerner.com
288,ACH US Equity,www.chalco.com.cn
289,PTCAY US Equity,www.chandra-asri.com
290,CHTR US Equity,www.charter.com
291,CHKP US Equity,www.checkpoint.com
292,CHGG US Equity,www.chegg.com
293,CQP US Equity,www.cheniere.com
294,LNG US Equity,www.cheniere.com
295,CVX US Equity,www.chevron.com
296,CHWY US Equity,www.chewy.com
297,CCOZY US Equity,www.chinacoalenergy.com
298,CICOY US Equity,www.chinacosco.com
299,CFEIY US Equity,www.chinafeiheir.com
300,CGHLY US Equity,www.chinagasholdings.com.hk
301,CMG US Equity,www.chipotle.com
302,CJEWY US Equity,www.chowtaifook.com
303,CHYHY US Equity,www.chr-hansen.com
304,CHRW US Equity,www.chrobinson.com
305,CHT US Equity,www.cht.com.tw
306,CHGCY US Equity,www.chugai-pharm.co.jp
307,CHD US Equity,www.churchdwight.com
308,CI US Equity,www.cigna.com
309,CINF US Equity,www.cinfin.com
310,CTAS US Equity,www.cintas-corp.com
311,CSCO US Equity,www.cisco.com
312,CTPCY US Equity,www.citic.com
313,CHCJY US Equity,www.citicbank.com
314,C US Equity,www.citigroup.com
